step,accepted_by_metric,alpha,corr_fro,coverage,f_score,jsd,jsd_exact,kl,kl_exact,mmd,model_label,precision,recall,support_match,training_loss,tvd,tvd_exact,validity
-1,,1.0,,,,,,,,-0.00036661246093795674,baseline,,,,,,,
-4,nan,,7.077268408314167,nan,nan,0.6901153408909624,0.5304373522745609,12.281904887143874,1.1587587259477816,0.0159857589751482,ensemble_final,nan,nan,nan,nan,0.767430766521908,0.6161616078535369,nan
-5,nan,,0.6585567668105056,nan,nan,0.5164536735938239,0.24766097137375978,8.973541383480956,0.3257742406829879,-0.0002119317650794983,ensemble_fcfw,nan,nan,nan,nan,0.49325502685852574,0.2429687767867208,nan
0,True,1.0,,,,,,,,-0.00036661246093795674,ensemble_step,,,,-0.00036661246093795674,,,
1,False,0.25,,,,,,,,0.0021014392030869466,ensemble_step,,,,0.0021014392030869466,,,
2,False,0.16666666666666666,,,,,,,,0.005601644365234346,ensemble_step,,,,0.005601644365234346,,,
3,False,0.125,,,,,,,,0.007536792804036206,ensemble_step,,,,0.007536792804036206,,,
4,False,0.1,,,,,,,,0.009927912624026154,ensemble_step,,,,0.009927912624026154,,,
5,False,0.08333333333333333,,,,,,,,0.011795947119576954,ensemble_step,,,,0.011795947119576954,,,
6,False,0.07142857142857142,,,,,,,,0.013491121779108321,ensemble_step,,,,0.013491121779108321,,,
7,False,0.06250000000000001,,,,,,,,0.013645061016178538,ensemble_step,,,,0.013645061016178538,,,
8,False,0.05555555555555554,,,,,,,,0.016604766020184247,ensemble_step,,,,0.016604766020184247,,,
9,True,0.05,,,,,,,,0.015214056238166268,ensemble_step,,,,0.015214056238166268,,,
