step,accepted_by_metric,alpha,corr_fro,coverage,f_score,jsd,jsd_exact,kl,kl_exact,mmd,model_label,precision,recall,support_match,training_loss,tvd,tvd_exact,validity
-1,,1.0,,,,,,,,0.010783505812195207,baseline,,,,,,,
-4,nan,,1.1952198675456964,nan,nan,0.6528388991248248,0.2563208133043592,12.948525819026539,0.2535698005646241,0.00011705948660771052,ensemble_final,nan,nan,nan,nan,0.7185985205494216,0.2620707702946489,nan
-5,nan,,0.762070091222617,nan,nan,0.6368408084033489,0.19739854731170944,12.778257161269321,0.16282896346646178,-0.00030530507986744243,ensemble_fcfw,nan,nan,nan,nan,0.6957632836357026,0.20596762758216522,nan
0,True,1.0,,,,,,,,0.010783505812195207,ensemble_step,,,,0.010783505812195207,,,
1,True,0.5,,,,,,,,0.009612243564895793,ensemble_step,,,,0.009612243564895793,,,
2,True,0.3333333333333333,,,,,,,,0.006635759761632851,ensemble_step,,,,0.006635759761632851,,,
3,True,0.25,,,,,,,,0.004759068267782455,ensemble_step,,,,0.004759068267782455,,,
4,True,0.2,,,,,,,,0.00218747571588741,ensemble_step,,,,0.00218747571588741,,,
5,True,0.16666666666666663,,,,,,,,0.0015036483877545095,ensemble_step,,,,0.0015036483877545095,,,
6,True,0.14285714285714288,,,,,,,,0.0009826681342706345,ensemble_step,,,,0.0009826681342706345,,,
7,True,0.125,,,,,,,,0.0006183007751584298,ensemble_step,,,,0.0006183007751584298,,,
8,True,0.11111111111111108,,,,,,,,0.0002911480019420062,ensemble_step,,,,0.0002911480019420062,,,
9,False,0.10000000000000003,,,,,,,,0.0003403804751414053,ensemble_step,,,,0.0003403804751414053,,,
