step,alpha,corr_fro,coverage,f_score,jsd,kl,mmd,model_label,precision,recall,support_match,training_loss,tvd,validity
-1,1.0,,,,,,0.017115234432704147,baseline,,,,,,
-4,,nan,nan,nan,nan,nan,0.004649697042179253,ensemble_final,nan,nan,nan,nan,nan,nan
-5,,nan,nan,nan,nan,nan,0.003561583951945601,ensemble_fcfw,nan,nan,nan,nan,nan,nan
0,1.0,,,,,,0.017115234432704147,ensemble_step,,,,0.017115234432704147,,
1,0.5,,,,,,0.017481593927036677,ensemble_step,,,,0.017481593927036677,,
2,0.3333333333333333,,,,,,0.01753855350108383,ensemble_step,,,,0.01753855350108383,,
3,0.25,,,,,,0.014467148174783942,ensemble_step,,,,0.014467148174783942,,
4,0.2,,,,,,0.012070411030452205,ensemble_step,,,,0.012070411030452205,,
5,0.16666666666666663,,,,,,0.008206694603882519,ensemble_step,,,,0.008206694603882519,,
6,0.14285714285714288,,,,,,0.006269993989037735,ensemble_step,,,,0.006269993989037735,,
7,0.125,,,,,,0.005541931517470744,ensemble_step,,,,0.005541931517470744,,
8,0.11111111111111108,,,,,,0.004649697042179253,ensemble_step,,,,0.004649697042179253,,
