step,alpha,corr_fro,coverage,f_score,jsd,kl,mmd,model_label,precision,recall,support_match,training_loss,tvd,validity
-1,1.0,,,,,,0.017127320823313964,baseline,,,,,,
-4,,nan,nan,nan,nan,nan,0.004351304734764641,ensemble_final,nan,nan,nan,nan,nan,nan
-5,,nan,nan,nan,nan,nan,0.002990031549398326,ensemble_fcfw,nan,nan,nan,nan,nan,nan
0,1.0,,,,,,0.017127320823313964,ensemble_step,,,,0.017127320823313964,,
1,0.5,,,,,,0.017291852130164712,ensemble_step,,,,0.017291852130164712,,
2,0.3333333333333333,,,,,,0.01747556187480014,ensemble_step,,,,0.01747556187480014,,
3,0.25,,,,,,0.014825608469683796,ensemble_step,,,,0.014825608469683796,,
4,0.2,,,,,,0.011974357860028121,ensemble_step,,,,0.011974357860028121,,
5,0.16666666666666663,,,,,,0.008061154696105516,ensemble_step,,,,0.008061154696105516,,
6,0.14285714285714288,,,,,,0.006566624842847566,ensemble_step,,,,0.006566624842847566,,
7,0.125,,,,,,0.005737293558469529,ensemble_step,,,,0.005737293558469529,,
8,0.11111111111111108,,,,,,0.004739409000334782,ensemble_step,,,,0.004739409000334782,,
9,0.10000000000000003,,,,,,0.004351304734764641,ensemble_step,,,,0.004351304734764641,,
