step,accepted_by_metric,alpha,corr_fro,coverage,f_score,jsd,jsd_exact,kl,kl_exact,mmd,model_label,precision,recall,support_match,training_loss,tvd,tvd_exact,validity
-1,,1.0,,,,,,,,0.0060184314169631145,baseline,,,,,,,
-4,nan,,3.311565443607614,nan,nan,0.7606358195555663,0.5657320958630362,16.169236307424487,1.465428830143022,0.01231659622862935,ensemble_final,nan,nan,nan,nan,0.8911870714955665,0.6651862428655463,nan
-5,nan,,2.0540011576393797,nan,nan,0.7265201232605841,0.4999098304533509,15.172738201108737,1.1542033772747675,0.007212433032691479,ensemble_fcfw,nan,nan,nan,nan,0.8359680842672962,0.5522585733599837,nan
0,True,1.0,,,,,,,,0.0060184314169631145,ensemble_step,,,,0.0060184314169631145,,,
1,False,0.125,,,,,,,,0.008232450249642729,ensemble_step,,,,0.008232450249642729,,,
2,False,0.08333333333333333,,,,,,,,0.01043804896716211,ensemble_step,,,,0.01043804896716211,,,
3,False,0.06250000000000001,,,,,,,,0.011599408562397915,ensemble_step,,,,0.011599408562397915,,,
4,True,0.05,,,,,,,,0.011299379352418053,ensemble_step,,,,0.011299379352418053,,,
5,True,0.04166666666666666,,,,,,,,0.011268047136612605,ensemble_step,,,,0.011268047136612605,,,
6,False,0.03571428571428572,,,,,,,,0.011999493284553058,ensemble_step,,,,0.011999493284553058,,,
7,False,0.03125,,,,,,,,0.01250822782215134,ensemble_step,,,,0.01250822782215134,,,
8,True,0.027777777777777776,,,,,,,,0.01248050053715414,ensemble_step,,,,0.01248050053715414,,,
9,False,0.025,,,,,,,,0.013410915668834227,ensemble_step,,,,0.013410915668834227,,,
