step,alpha,corr_fro,coverage,f_score,jsd,kl,mmd,model_label,precision,recall,support_match,training_loss,tvd,validity
-1,1.0,,,,,,0.01721039649275484,baseline,,,,,,
-4,,nan,nan,nan,nan,nan,0.021005940846912985,ensemble_final,nan,nan,nan,nan,nan,nan
-5,,nan,nan,nan,nan,nan,0.01706523018462774,ensemble_fcfw,nan,nan,nan,nan,nan,nan
0,1.0,,,,,,0.01721039649275484,ensemble_step,,,,0.01721039649275484,,
1,0.5,,,,,,0.021805295795786443,ensemble_step,,,,0.021805295795786443,,
2,0.3333333333333333,,,,,,0.022225310988949226,ensemble_step,,,,0.022225310988949226,,
3,0.25,,,,,,0.02150239151960415,ensemble_step,,,,0.02150239151960415,,
4,0.2,,,,,,0.0211303658464678,ensemble_step,,,,0.0211303658464678,,
5,0.16666666666666663,,,,,,0.02013470497732425,ensemble_step,,,,0.02013470497732425,,
6,0.14285714285714288,,,,,,0.020824771934960427,ensemble_step,,,,0.020824771934960427,,
7,0.125,,,,,,0.020790294405600037,ensemble_step,,,,0.020790294405600037,,
8,0.11111111111111108,,,,,,0.021005940846912985,ensemble_step,,,,0.021005940846912985,,
