step,alpha,corr_fro,coverage,f_score,jsd,kl,mmd,model_label,precision,recall,support_match,training_loss,tvd,validity
-1,1.0,,,,,,0.009598930767144935,baseline,,,,,,
-4,,nan,nan,nan,nan,nan,0.026213152743653264,ensemble_final,nan,nan,nan,nan,nan,nan
-5,,nan,nan,nan,nan,nan,0.009442122135374598,ensemble_fcfw,nan,nan,nan,nan,nan,nan
0,1.0,,,,,,0.009598930767144935,ensemble_step,,,,0.009598930767144935,,
1,0.5,,,,,,0.0286588314084535,ensemble_step,,,,0.0286588314084535,,
2,0.3333333333333333,,,,,,0.02568102721110203,ensemble_step,,,,0.02568102721110203,,
3,0.25,,,,,,0.023243129433045254,ensemble_step,,,,0.023243129433045254,,
4,0.2,,,,,,0.028169347494900774,ensemble_step,,,,0.028169347494900774,,
5,0.16666666666666663,,,,,,0.026613109963159964,ensemble_step,,,,0.026613109963159964,,
6,0.14285714285714288,,,,,,0.0268175928832181,ensemble_step,,,,0.0268175928832181,,
7,0.125,,,,,,0.02749248610541567,ensemble_step,,,,0.02749248610541567,,
8,0.11111111111111108,,,,,,0.027632202344207556,ensemble_step,,,,0.027632202344207556,,
9,0.10000000000000003,,,,,,0.026213152743653264,ensemble_step,,,,0.026213152743653264,,
