step,accepted_by_metric,alpha,corr_fro,coverage,f_score,jsd,jsd_exact,kl,kl_exact,mmd,model_label,precision,recall,support_match,training_loss,tvd,tvd_exact,validity
-1,,1.0,,,,,,,,0.0032007514817664635,baseline,,,,,,,
-4,nan,,2.727308105481312,nan,nan,0.795131672891589,0.588575904409769,18.21489611126396,2.161292412976252,0.004468732397072017,ensemble_final,nan,nan,nan,nan,0.9457123015562446,0.6877229999869083,nan
-5,nan,,2.518659364109413,nan,nan,0.7789592363259596,0.5547179948524623,17.62979707074252,2.347466958526601,0.003668175544589758,ensemble_fcfw,nan,nan,nan,nan,0.9204647983647949,0.6314255255025556,nan
0,True,1.0,,,,,,,,0.0032007514817664635,ensemble_step,,,,0.0032007514817664635,,,
1,False,0.125,,,,,,,,0.0036907223474555825,ensemble_step,,,,0.0036907223474555825,,,
2,False,0.08333333333333333,,,,,,,,0.003934599822367947,ensemble_step,,,,0.003934599822367947,,,
3,False,0.06250000000000001,,,,,,,,0.004310916263474473,ensemble_step,,,,0.004310916263474473,,,
4,True,0.05,,,,,,,,0.003892213288233775,ensemble_step,,,,0.003892213288233775,,,
5,False,0.04166666666666666,,,,,,,,0.004065715105583637,ensemble_step,,,,0.004065715105583637,,,
6,False,0.03571428571428572,,,,,,,,0.004267861330029597,ensemble_step,,,,0.004267861330029597,,,
7,False,0.03125,,,,,,,,0.004359767352499944,ensemble_step,,,,0.004359767352499944,,,
8,True,0.027777777777777776,,,,,,,,0.004234668323008199,ensemble_step,,,,0.004234668323008199,,,
9,False,0.025,,,,,,,,0.004325804520543338,ensemble_step,,,,0.004325804520543338,,,
