step,accepted_by_metric,alpha,corr_fro,coverage,f_score,jsd,jsd_exact,kl,kl_exact,mmd,model_label,precision,recall,support_match,training_loss,tvd,tvd_exact,validity
-1,,1.0,,,,,,,,0.051748477566073536,baseline,,,,,,,
-4,nan,,13.437767053916144,nan,nan,0.6854624157872969,0.6791603309138644,9.938036903708454,3.459033177097587,0.18460674583911896,ensemble_final,nan,nan,nan,nan,0.8037100076266595,0.8092051737586654,nan
-5,nan,,7.794550747616198,nan,nan,0.5625843304896249,0.5468833743219552,9.389766729101627,2.9857273976919263,0.053149640560150146,ensemble_fcfw,nan,nan,nan,nan,0.5089737471465914,0.4940084069868442,nan
0,True,1.0,,,,,,,,0.051748477566073536,ensemble_step,,,,0.051748477566073536,,,
1,False,0.25,,,,,,,,0.10073212223575323,ensemble_step,,,,0.10073212223575323,,,
2,False,0.16666666666666666,,,,,,,,0.1311850748449414,ensemble_step,,,,0.1311850748449414,,,
3,False,0.125,,,,,,,,0.1524024150564481,ensemble_step,,,,0.1524024150564481,,,
4,False,0.1,,,,,,,,0.16814257680896919,ensemble_step,,,,0.16814257680896919,,,
5,False,0.08333333333333333,,,,,,,,0.18033840605469906,ensemble_step,,,,0.18033840605469906,,,
6,False,0.07142857142857142,,,,,,,,0.19019629427969356,ensemble_step,,,,0.19019629427969356,,,
7,False,0.06250000000000001,,,,,,,,0.1980913073578985,ensemble_step,,,,0.1980913073578985,,,
8,False,0.05555555555555554,,,,,,,,0.20491719133752806,ensemble_step,,,,0.20491719133752806,,,
9,False,0.05,,,,,,,,0.210818758322045,ensemble_step,,,,0.210818758322045,,,
