step,accepted_by_metric,alpha,corr_fro,coverage,f_score,jsd,jsd_exact,kl,kl_exact,mmd,model_label,precision,recall,support_match,training_loss,tvd,tvd_exact,validity
-1,,1.0,,,,,,,,0.023300187464848535,baseline,,,,,,,
-4,nan,,2.9299821937315564,nan,nan,0.772470009125692,0.6533014600755752,18.00997479907951,2.7881090811342433,0.012428969144821167,ensemble_final,nan,nan,nan,nan,0.9064791502211005,0.7676947639954269,nan
-5,nan,,2.4851738305108535,nan,nan,0.7591546666136103,0.6421074823593113,16.802372762934606,2.714236825742049,0.010443419218063354,ensemble_fcfw,nan,nan,nan,nan,0.8917228196916265,0.7516300578038978,nan
0,True,1.0,,,,,,,,0.023300187464848535,ensemble_step,,,,0.023300187464848535,,,
1,False,0.5,,,,,,,,0.023857216813859328,ensemble_step,,,,0.023857216813859328,,,
2,False,0.3333333333333333,,,,,,,,0.024033097778114687,ensemble_step,,,,0.024033097778114687,,,
3,True,0.25,,,,,,,,0.023057761280510125,ensemble_step,,,,0.023057761280510125,,,
4,True,0.2,,,,,,,,0.02285239865657801,ensemble_step,,,,0.02285239865657801,,,
5,True,0.16666666666666663,,,,,,,,0.019150900148317246,ensemble_step,,,,0.019150900148317246,,,
6,True,0.14285714285714288,,,,,,,,0.01772983389158836,ensemble_step,,,,0.01772983389158836,,,
7,True,0.125,,,,,,,,0.016528223664079647,ensemble_step,,,,0.016528223664079647,,,
8,True,0.11111111111111108,,,,,,,,0.014192368503959357,ensemble_step,,,,0.014192368503959357,,,
9,True,0.10000000000000003,,,,,,,,0.012736154518693213,ensemble_step,,,,0.012736154518693213,,,
