step,accepted_by_metric,alpha,corr_fro,coverage,f_score,jsd,kl,mmd,model_label,precision,recall,support_match,test_mmd,test_mmd_fcfw,training_loss,tvd,validity
-1,,1.0,,,,,,0.010123807416557745,baseline,,,,,,,,
-4,nan,,nan,nan,nan,nan,nan,0.003496461110092025,ensemble_final,nan,nan,nan,0.005108534077325172,0.0036858329549074587,nan,nan,nan
-5,nan,,nan,nan,nan,nan,nan,0.0025172570350798507,ensemble_fcfw,nan,nan,nan,nan,nan,nan,nan,nan
0,True,1.0,,,,,,0.010123807416557745,ensemble_step,,,,,,0.010123807416557745,,
1,True,0.25,,,,,,0.009668997643389632,ensemble_step,,,,,,0.009668997643389632,,
2,True,0.16666666666666666,,,,,,0.008814018450819583,ensemble_step,,,,,,0.008814018450819583,,
3,True,0.125,,,,,,0.006309751617861292,ensemble_step,,,,,,0.006309751617861292,,
4,True,0.1,,,,,,0.006009562013945591,ensemble_step,,,,,,0.006009562013945591,,
5,True,0.08333333333333333,,,,,,0.004417977740018675,ensemble_step,,,,,,0.004417977740018675,,
6,True,0.07142857142857142,,,,,,0.004199067171975934,ensemble_step,,,,,,0.004199067171975934,,
7,True,0.06250000000000001,,,,,,0.003907632364799851,ensemble_step,,,,,,0.003907632364799851,,
8,True,0.05555555555555554,,,,,,0.0036016826608418484,ensemble_step,,,,,,0.0036016826608418484,,
9,True,0.05,,,,,,0.003496461110092025,ensemble_step,,,,,,0.003496461110092025,,
