step,accepted_by_metric,alpha,corr_fro,coverage,f_score,jsd,kl,mmd,model_label,precision,recall,support_match,test_mmd,test_mmd_fcfw,training_loss,tvd,validity
-1,,1.0,,,,,,0.021250954541775058,baseline,,,,,,,,
-4,nan,,nan,nan,nan,nan,nan,0.004201153213356318,ensemble_final,nan,nan,nan,0.0045228108646873655,0.003164155174353117,nan,nan,nan
-5,nan,,nan,nan,nan,nan,nan,0.0029559740650257627,ensemble_fcfw,nan,nan,nan,nan,nan,nan,nan,nan
0,True,1.0,,,,,,0.021250954541775058,ensemble_step,,,,,,0.021250954541775058,,
1,True,0.25,,,,,,0.018083086740055793,ensemble_step,,,,,,0.018083086740055793,,
2,True,0.16666666666666666,,,,,,0.008619755851973165,ensemble_step,,,,,,0.008619755851973165,,
3,False,0.125,,,,,,0.008694104175335476,ensemble_step,,,,,,0.008694104175335476,,
4,True,0.1,,,,,,0.007795791484660253,ensemble_step,,,,,,0.007795791484660253,,
5,True,0.08333333333333333,,,,,,0.006202038544549815,ensemble_step,,,,,,0.006202038544549815,,
6,False,0.07142857142857142,,,,,,0.006386227421684293,ensemble_step,,,,,,0.006386227421684293,,
7,True,0.06250000000000001,,,,,,0.00525598418596443,ensemble_step,,,,,,0.00525598418596443,,
8,True,0.05555555555555554,,,,,,0.00496937943603365,ensemble_step,,,,,,0.00496937943603365,,
9,True,0.05,,,,,,0.004201153213356318,ensemble_step,,,,,,0.004201153213356318,,
