step,accepted_by_metric,alpha,corr_fro,coverage,f_score,jsd,jsd_exact,kl,kl_exact,mmd,model_label,precision,recall,support_match,training_loss,tvd,tvd_exact,validity
-1,,1.0,,,,,,,,0.0702398160610095,baseline,,,,,,,
-4,nan,,3.8231907149251536,nan,nan,0.6411521219442126,0.49405996761351906,10.967272609870792,1.2543888056665873,0.01307077705860138,ensemble_final,nan,nan,nan,nan,0.7050448331019391,0.5544946001970041,nan
-5,nan,,1.6754149558210432,nan,nan,0.5841278322149206,0.450635035623531,10.283698724880484,1.468946404757356,0.005304619669914246,ensemble_fcfw,nan,nan,nan,nan,0.6260665981640816,0.49186344415954575,nan
0,True,1.0,,,,,,,,0.0702398160610095,ensemble_step,,,,0.0702398160610095,,,
1,True,0.375,,,,,,,,0.06833433194660123,ensemble_step,,,,0.06833433194660123,,,
2,True,0.25,,,,,,,,0.04550635953371886,ensemble_step,,,,0.04550635953371886,,,
3,True,0.1875,,,,,,,,0.040159731367995805,ensemble_step,,,,0.040159731367995805,,,
4,True,0.15000000000000002,,,,,,,,0.028676145053073532,ensemble_step,,,,0.028676145053073532,,,
5,True,0.12499999999999997,,,,,,,,0.020379905903235712,ensemble_step,,,,0.020379905903235712,,,
6,True,0.10714285714285715,,,,,,,,0.01634686483451686,ensemble_step,,,,0.01634686483451686,,,
7,False,0.09374999999999999,,,,,,,,0.018952890956748444,ensemble_step,,,,0.018952890956748444,,,
8,True,0.08333333333333334,,,,,,,,0.018782626333280455,ensemble_step,,,,0.018782626333280455,,,
9,True,0.075,,,,,,,,0.016337637389171114,ensemble_step,,,,0.016337637389171114,,,
