step,alpha,corr_fro,coverage,f_score,jsd,kl,mmd,model_label,precision,recall,support_match,training_loss,tvd,validity
-1,1.0,,,,,,0.03351060242208883,baseline,,,,,,
-4,,nan,nan,nan,nan,nan,0.0083330733925202,ensemble_final,nan,nan,nan,nan,nan,nan
-5,,nan,nan,nan,nan,nan,0.00438041128161911,ensemble_fcfw,nan,nan,nan,nan,nan,nan
0,1.0,,,,,,0.03351060242208883,ensemble_step,,,,0.03351060242208883,,
1,0.5,,,,,,0.03421438052067312,ensemble_step,,,,0.03421438052067312,,
2,0.3333333333333333,,,,,,0.033284381148379616,ensemble_step,,,,0.033284381148379616,,
3,0.25,,,,,,0.02772867321115685,ensemble_step,,,,0.02772867321115685,,
4,0.2,,,,,,0.013330223338939858,ensemble_step,,,,0.013330223338939858,,
5,0.16666666666666663,,,,,,0.01173526675131903,ensemble_step,,,,0.01173526675131903,,
6,0.14285714285714288,,,,,,0.0083330733925202,ensemble_step,,,,0.0083330733925202,,
