step,alpha,corr_fro,coverage,f_score,jsd,kl,mmd,model_label,precision,recall,support_match,training_loss,tvd,validity
-1,1.0,,,,,,0.009535023236109491,baseline,,,,,,
-4,,nan,nan,nan,nan,nan,0.00441582558687078,ensemble_final,nan,nan,nan,nan,nan,nan
-5,,nan,nan,nan,nan,nan,0.003769738627258513,ensemble_fcfw,nan,nan,nan,nan,nan,nan
0,1.0,,,,,,0.009535023236109491,ensemble_step,,,,0.009535023236109491,,
1,0.5,,,,,,0.009820426413649073,ensemble_step,,,,0.009820426413649073,,
2,0.3333333333333333,,,,,,0.010047385989292543,ensemble_step,,,,0.010047385989292543,,
3,0.25,,,,,,0.009848240982943549,ensemble_step,,,,0.009848240982943549,,
4,0.2,,,,,,0.0068780314630314905,ensemble_step,,,,0.0068780314630314905,,
5,0.16666666666666663,,,,,,0.0048337562360263415,ensemble_step,,,,0.0048337562360263415,,
6,0.14285714285714288,,,,,,0.00441582558687078,ensemble_step,,,,0.00441582558687078,,
