step,accepted_by_metric,alpha,corr_fro,coverage,f_score,jsd,jsd_exact,kl,kl_exact,mmd,model_label,precision,recall,support_match,training_loss,tvd,tvd_exact,validity
-1,,1.0,,,,,,,,0.049063314878101456,baseline,,,,,,,
-4,nan,,0.9003690402773399,nan,nan,0.5428130880493693,0.21837461958732343,8.507144314947332,0.20629146536714812,7.567182183265686e-05,ensemble_final,nan,nan,nan,nan,0.5145948085850763,0.20674064626223215,nan
-5,nan,,0.5654695783009814,nan,nan,0.5275788948214123,0.20201561794358636,8.105800255346718,0.1926264483439194,-0.0006210021674633026,ensemble_fcfw,nan,nan,nan,nan,0.5116365489097761,0.1846391174267143,nan
0,True,1.0,,,,,,,,0.049063314878101456,ensemble_step,,,,0.049063314878101456,,,
1,True,0.375,,,,,,,,0.010204452052557648,ensemble_step,,,,0.010204452052557648,,,
2,False,0.25,,,,,,,,0.013424642226259852,ensemble_step,,,,0.013424642226259852,,,
3,False,0.1875,,,,,,,,0.01682998208079033,ensemble_step,,,,0.01682998208079033,,,
4,True,0.15000000000000002,,,,,,,,0.0007633414019212088,ensemble_step,,,,0.0007633414019212088,,,
5,False,0.12499999999999997,,,,,,,,0.0009404870193141998,ensemble_step,,,,0.0009404870193141998,,,
6,True,0.10714285714285715,,,,,,,,0.0006249538983215883,ensemble_step,,,,0.0006249538983215883,,,
7,True,0.09374999999999999,,,,,,,,0.00011787994747586641,ensemble_step,,,,0.00011787994747586641,,,
8,False,0.08333333333333334,,,,,,,,0.00012690903600253572,ensemble_step,,,,0.00012690903600253572,,,
9,False,0.075,,,,,,,,0.000799104442268727,ensemble_step,,,,0.000799104442268727,,,
