step,alpha,corr_fro,coverage,f_score,jsd,kl,mmd,model_label,precision,recall,support_match,training_loss,tvd,validity
-1,1.0,,,,,,0.03333749375748866,baseline,,,,,,
-4,,nan,nan,nan,nan,nan,0.0036514471565804074,ensemble_final,nan,nan,nan,nan,nan,nan
-5,,nan,nan,nan,nan,nan,0.002195968164610578,ensemble_fcfw,nan,nan,nan,nan,nan,nan
0,1.0,,,,,,0.03333749375748866,ensemble_step,,,,0.03333749375748866,,
1,0.5,,,,,,0.03325845866689403,ensemble_step,,,,0.03325845866689403,,
2,0.3333333333333333,,,,,,0.02162810152361136,ensemble_step,,,,0.02162810152361136,,
3,0.25,,,,,,0.0155881763576938,ensemble_step,,,,0.0155881763576938,,
4,0.2,,,,,,0.01178126594528739,ensemble_step,,,,0.01178126594528739,,
5,0.16666666666666663,,,,,,0.00932567667863168,ensemble_step,,,,0.00932567667863168,,
6,0.14285714285714288,,,,,,0.0063733436490935255,ensemble_step,,,,0.0063733436490935255,,
7,0.125,,,,,,0.004925649958876577,ensemble_step,,,,0.004925649958876577,,
8,0.11111111111111108,,,,,,0.0036514471565804074,ensemble_step,,,,0.0036514471565804074,,
