step,accepted_by_metric,alpha,corr_fro,coverage,f_score,jsd,jsd_exact,kl,kl_exact,mmd,model_label,precision,recall,support_match,training_loss,tvd,tvd_exact,validity
-1,,1.0,,,,,,,,0.009511849137603693,baseline,,,,,,,
-4,nan,,1.690214923285203,nan,nan,0.6379182843604505,0.38788024693117096,11.954281131498103,0.6153240129938365,0.0004106764681637287,ensemble_final,nan,nan,nan,nan,0.6800510430026222,0.40335946376667076,nan
-5,nan,,1.035897208097422,nan,nan,0.6051888268806419,0.3413136268625151,11.16377506919943,0.5794356925396703,-7.674796506762505e-05,ensemble_fcfw,nan,nan,nan,nan,0.6320529763868553,0.3421179292243943,nan
0,True,1.0,,,,,,,,0.009511849137603693,ensemble_step,,,,0.009511849137603693,,,
1,True,0.375,,,,,,,,0.0076245157304312425,ensemble_step,,,,0.0076245157304312425,,,
2,True,0.25,,,,,,,,0.006627730511131386,ensemble_step,,,,0.006627730511131386,,,
3,True,0.1875,,,,,,,,0.005768780008839652,ensemble_step,,,,0.005768780008839652,,,
4,False,0.15000000000000002,,,,,,,,0.005902553546222924,ensemble_step,,,,0.005902553546222924,,,
5,True,0.12499999999999997,,,,,,,,0.0045694112794170275,ensemble_step,,,,0.0045694112794170275,,,
6,True,0.10714285714285715,,,,,,,,0.003198953952063249,ensemble_step,,,,0.003198953952063249,,,
7,True,0.09374999999999999,,,,,,,,0.001917700136876998,ensemble_step,,,,0.001917700136876998,,,
8,True,0.08333333333333334,,,,,,,,0.001098009399562453,ensemble_step,,,,0.001098009399562453,,,
9,True,0.075,,,,,,,,0.0007621521517633249,ensemble_step,,,,0.0007621521517633249,,,
