step,accepted_by_metric,alpha,corr_fro,coverage,f_score,jsd,jsd_exact,kl,kl_exact,mmd,model_label,precision,recall,support_match,training_loss,tvd,tvd_exact,validity
-1,,1.0,,,,,,,,0.004397320110802528,baseline,,,,,,,
-4,nan,,3.2991750155795097,nan,nan,0.7520481697616885,0.535756312609981,16.159597885250122,1.2410433897302422,0.009447216521948576,ensemble_final,nan,nan,nan,nan,0.8764046278970261,0.6260479566991531,nan
-5,nan,,2.227563887662022,nan,nan,0.7085594778896919,0.4529027649417231,14.483329060135839,0.9082592606199613,0.004423768259584904,ensemble_fcfw,nan,nan,nan,nan,0.8060692886194395,0.5035834461781057,nan
0,True,1.0,,,,,,,,0.004397320110802528,ensemble_step,,,,0.004397320110802528,,,
1,False,0.125,,,,,,,,0.006354840489443179,ensemble_step,,,,0.006354840489443179,,,
2,False,0.08333333333333333,,,,,,,,0.007040046123899909,ensemble_step,,,,0.007040046123899909,,,
3,False,0.06250000000000001,,,,,,,,0.008501691272130785,ensemble_step,,,,0.008501691272130785,,,
4,False,0.05,,,,,,,,0.00850531484306265,ensemble_step,,,,0.00850531484306265,,,
5,False,0.04166666666666666,,,,,,,,0.008664673413832322,ensemble_step,,,,0.008664673413832322,,,
6,False,0.03571428571428572,,,,,,,,0.00994982378553406,ensemble_step,,,,0.00994982378553406,,,
7,False,0.03125,,,,,,,,0.010736208649236184,ensemble_step,,,,0.010736208649236184,,,
8,True,0.027777777777777776,,,,,,,,0.01052493101554066,ensemble_step,,,,0.01052493101554066,,,
9,False,0.025,,,,,,,,0.011341756249281677,ensemble_step,,,,0.011341756249281677,,,
