step,accepted_by_metric,alpha,corr_fro,coverage,f_score,jsd,kl,mmd,model_label,precision,recall,support_match,test_mmd,test_mmd_fcfw,training_loss,tvd,validity
-1,,1.0,,,,,,0.010355398488279516,baseline,,,,,,,,
-4,nan,,nan,nan,nan,nan,nan,0.003921439430030288,ensemble_final,nan,nan,nan,0.005969463272600284,0.004325895708877259,nan,nan,nan
-5,nan,,nan,nan,nan,nan,nan,0.0030753467492926068,ensemble_fcfw,nan,nan,nan,nan,nan,nan,nan,nan
0,True,1.0,,,,,,0.010355398488279516,ensemble_step,,,,,,0.010355398488279516,,
1,True,0.375,,,,,,0.01018494602575623,ensemble_step,,,,,,0.01018494602575623,,
2,True,0.25,,,,,,0.009795270944672196,ensemble_step,,,,,,0.009795270944672196,,
3,True,0.1875,,,,,,0.007732555227510957,ensemble_step,,,,,,0.007732555227510957,,
4,True,0.15000000000000002,,,,,,0.0063735002148708475,ensemble_step,,,,,,0.0063735002148708475,,
5,True,0.12499999999999997,,,,,,0.005857942228161356,ensemble_step,,,,,,0.005857942228161356,,
6,True,0.10714285714285715,,,,,,0.005098586529050542,ensemble_step,,,,,,0.005098586529050542,,
7,True,0.09374999999999999,,,,,,0.004731503974245127,ensemble_step,,,,,,0.004731503974245127,,
8,True,0.08333333333333334,,,,,,0.004246791597865701,ensemble_step,,,,,,0.004246791597865701,,
9,True,0.075,,,,,,0.003921439430030288,ensemble_step,,,,,,0.003921439430030288,,
