step,accepted_by_metric,alpha,corr_fro,coverage,f_score,jsd,kl,mmd,model_label,precision,recall,support_match,test_mmd,test_mmd_fcfw,training_loss,tvd,validity
-1,,1.0,,,,,,0.021270844389856575,baseline,,,,,,,,
-4,nan,,nan,nan,nan,nan,nan,0.003694786003996836,ensemble_final,nan,nan,nan,0.0038867514185482177,0.0026063344271833044,nan,nan,nan
-5,nan,,nan,nan,nan,nan,nan,0.002406283777961399,ensemble_fcfw,nan,nan,nan,nan,nan,nan,nan,nan
0,True,1.0,,,,,,0.021270844389856575,ensemble_step,,,,,,0.021270844389856575,,
1,True,0.25,,,,,,0.016089047111556343,ensemble_step,,,,,,0.016089047111556343,,
2,True,0.16666666666666666,,,,,,0.007953062243628184,ensemble_step,,,,,,0.007953062243628184,,
3,False,0.125,,,,,,0.008575436706536987,ensemble_step,,,,,,0.008575436706536987,,
4,True,0.1,,,,,,0.007271498421255296,ensemble_step,,,,,,0.007271498421255296,,
5,True,0.08333333333333333,,,,,,0.005383756112801036,ensemble_step,,,,,,0.005383756112801036,,
6,False,0.07142857142857142,,,,,,0.005559821940984366,ensemble_step,,,,,,0.005559821940984366,,
7,True,0.06250000000000001,,,,,,0.004325291957291311,ensemble_step,,,,,,0.004325291957291311,,
8,True,0.05555555555555554,,,,,,0.00404683267455036,ensemble_step,,,,,,0.00404683267455036,,
9,True,0.05,,,,,,0.003694786003996836,ensemble_step,,,,,,0.003694786003996836,,
