step,accepted_by_metric,alpha,corr_fro,coverage,f_score,jsd,jsd_exact,kl,kl_exact,mmd,model_label,precision,recall,support_match,training_loss,tvd,tvd_exact,validity
-1,,1.0,,,,,,,,0.05427710658252549,baseline,,,,,,,
-4,nan,,1.6383724373197477,nan,nan,0.37491129015357516,0.26580151996485685,4.487272196310949,0.35657421378062226,0.0003384550412495931,ensemble_final,nan,nan,nan,nan,0.3016539816241855,0.21456501816154377,nan
-5,nan,,1.0029349082054995,nan,nan,0.3536602401208713,0.22740874645904782,4.575309967173266,0.3048648900979528,-0.00034251312414805096,ensemble_fcfw,nan,nan,nan,nan,0.27150583002548384,0.1688500480752622,nan
0,True,1.0,,,,,,,,0.05427710658252549,ensemble_step,,,,0.05427710658252549,,,
1,True,0.375,,,,,,,,0.03758389674744508,ensemble_step,,,,0.03758389674744508,,,
2,True,0.25,,,,,,,,0.028769856537803524,ensemble_step,,,,0.028769856537803524,,,
3,True,0.1875,,,,,,,,0.011939771271002758,ensemble_step,,,,0.011939771271002758,,,
4,True,0.15000000000000002,,,,,,,,0.0034119231890005672,ensemble_step,,,,0.0034119231890005672,,,
5,True,0.12499999999999997,,,,,,,,0.0011374549160824143,ensemble_step,,,,0.0011374549160824143,,,
6,True,0.10714285714285715,,,,,,,,0.0010313938319856826,ensemble_step,,,,0.0010313938319856826,,,
7,True,0.09374999999999999,,,,,,,,0.0009165974108984315,ensemble_step,,,,0.0009165974108984315,,,
8,False,0.08333333333333334,,,,,,,,0.0009748776169819622,ensemble_step,,,,0.0009748776169819622,,,
9,True,0.075,,,,,,,,0.0006736449327382141,ensemble_step,,,,0.0006736449327382141,,,
