step,alpha,corr_fro,coverage,f_score,jsd,kl,mmd,model_label,precision,recall,support_match,training_loss,tvd,validity
-1,1.0,,,,,,0.017066908059830247,baseline,,,,,,
-4,,nan,nan,nan,nan,nan,0.004578908535752759,ensemble_final,nan,nan,nan,nan,nan,nan
-5,,nan,nan,nan,nan,nan,0.0036676738043173746,ensemble_fcfw,nan,nan,nan,nan,nan,nan
0,1.0,,,,,,0.017066908059830247,ensemble_step,,,,0.017066908059830247,,
1,0.5,,,,,,0.01724928453588075,ensemble_step,,,,0.01724928453588075,,
2,0.3333333333333333,,,,,,0.017411042345621092,ensemble_step,,,,0.017411042345621092,,
3,0.25,,,,,,0.014623004477220121,ensemble_step,,,,0.014623004477220121,,
4,0.2,,,,,,0.011989809988775841,ensemble_step,,,,0.011989809988775841,,
5,0.16666666666666663,,,,,,0.008089794926469477,ensemble_step,,,,0.008089794926469477,,
6,0.14285714285714288,,,,,,0.006442992353300075,ensemble_step,,,,0.006442992353300075,,
7,0.125,,,,,,0.005662338067669119,ensemble_step,,,,0.005662338067669119,,
8,0.11111111111111108,,,,,,0.004578908535752759,ensemble_step,,,,0.004578908535752759,,
