step,accepted_by_metric,alpha,corr_fro,coverage,f_score,jsd,jsd_exact,kl,kl_exact,mmd,model_label,precision,recall,support_match,training_loss,tvd,tvd_exact,validity
-1,,1.0,,,,,,,,0.01195878836228302,baseline,,,,,,,
-4,nan,,1.142657661594256,nan,nan,0.656320184656598,0.2838410209999142,13.355518415487532,0.30727559900108525,-0.00012895775338013968,ensemble_final,nan,nan,nan,nan,0.7190051907245568,0.27811796387345067,nan
-5,nan,,0.7077848094329391,nan,nan,0.6348240346358682,0.22043097865280892,12.860957674399861,0.1972962654253007,-0.0003076563589274883,ensemble_fcfw,nan,nan,nan,nan,0.694515414572068,0.22174308487548788,nan
0,True,1.0,,,,,,,,0.01195878836228302,ensemble_step,,,,0.01195878836228302,,,
1,True,0.375,,,,,,,,0.009690840678237975,ensemble_step,,,,0.009690840678237975,,,
2,True,0.25,,,,,,,,0.006962632169731919,ensemble_step,,,,0.006962632169731919,,,
3,True,0.1875,,,,,,,,0.004432332944873245,ensemble_step,,,,0.004432332944873245,,,
4,True,0.15000000000000002,,,,,,,,0.0019863154459161788,ensemble_step,,,,0.0019863154459161788,,,
5,True,0.12499999999999997,,,,,,,,0.0013854734845819138,ensemble_step,,,,0.0013854734845819138,,,
6,True,0.10714285714285715,,,,,,,,0.001017485604369028,ensemble_step,,,,0.001017485604369028,,,
7,True,0.09374999999999999,,,,,,,,0.0005914774399665693,ensemble_step,,,,0.0005914774399665693,,,
8,True,0.08333333333333334,,,,,,,,0.00029157378478290456,ensemble_step,,,,0.00029157378478290456,,,
9,True,0.075,,,,,,,,0.00020623454200307295,ensemble_step,,,,0.00020623454200307295,,,
