step,alpha,corr_fro,coverage,f_score,jsd,kl,mmd,model_label,precision,recall,support_match,training_loss,tvd,validity
-1,1.0,,,,,,0.017118324691080943,baseline,,,,,,
-4,,nan,nan,nan,nan,nan,0.004303749042447294,ensemble_final,nan,nan,nan,nan,nan,nan
-5,,nan,nan,nan,nan,nan,0.003019476898522821,ensemble_fcfw,nan,nan,nan,nan,nan,nan
0,1.0,,,,,,0.017118324691080943,ensemble_step,,,,0.017118324691080943,,
1,0.5,,,,,,0.017607956685423178,ensemble_step,,,,0.017607956685423178,,
2,0.3333333333333333,,,,,,0.017581512523535178,ensemble_step,,,,0.017581512523535178,,
3,0.25,,,,,,0.015144807649648524,ensemble_step,,,,0.015144807649648524,,
4,0.2,,,,,,0.011861900277711257,ensemble_step,,,,0.011861900277711257,,
5,0.16666666666666663,,,,,,0.00822348066939398,ensemble_step,,,,0.00822348066939398,,
6,0.14285714285714288,,,,,,0.006505386823551225,ensemble_step,,,,0.006505386823551225,,
7,0.125,,,,,,0.005622169066600545,ensemble_step,,,,0.005622169066600545,,
8,0.11111111111111108,,,,,,0.004708354209127984,ensemble_step,,,,0.004708354209127984,,
9,0.10000000000000003,,,,,,0.004303749042447294,ensemble_step,,,,0.004303749042447294,,
