step,accepted_by_metric,alpha,corr_fro,coverage,f_score,jsd,jsd_exact,kl,kl_exact,mmd,model_label,precision,recall,support_match,training_loss,tvd,tvd_exact,validity
-1,,1.0,,,,,,,,0.006744688514149835,baseline,,,,,,,
-4,nan,,3.0175057443418503,nan,nan,0.7088800261074479,0.5531218253887719,15.484146982655417,2.3656776839585913,0.002411656081676483,ensemble_final,nan,nan,nan,nan,0.7929739645627332,0.5907059469535972,nan
-5,nan,,2.6236319127987593,nan,nan,0.6868259922810401,0.5539332694579095,15.209817381854615,3.547316265513332,0.0021177101880311966,ensemble_fcfw,nan,nan,nan,nan,0.7487574050042698,0.5740382602919393,nan
0,True,1.0,,,,,,,,0.006744688514149835,ensemble_step,,,,0.006744688514149835,,,
1,True,0.375,,,,,,,,0.006164155212283053,ensemble_step,,,,0.006164155212283053,,,
2,True,0.25,,,,,,,,0.006080715510821651,ensemble_step,,,,0.006080715510821651,,,
3,True,0.1875,,,,,,,,0.005394940467653623,ensemble_step,,,,0.005394940467653623,,,
4,True,0.15000000000000002,,,,,,,,0.004297025447482335,ensemble_step,,,,0.004297025447482335,,,
5,True,0.12499999999999997,,,,,,,,0.004262080686990235,ensemble_step,,,,0.004262080686990235,,,
6,True,0.10714285714285715,,,,,,,,0.0037353967723781027,ensemble_step,,,,0.0037353967723781027,,,
7,True,0.09374999999999999,,,,,,,,0.0036166875102476067,ensemble_step,,,,0.0036166875102476067,,,
8,True,0.08333333333333334,,,,,,,,0.002472082046645753,ensemble_step,,,,0.002472082046645753,,,
9,True,0.075,,,,,,,,0.0024594147023741103,ensemble_step,,,,0.0024594147023741103,,,
