step,accepted_by_metric,alpha,corr_fro,coverage,f_score,jsd,kl,mmd,model_label,precision,recall,support_match,test_mmd,test_mmd_fcfw,training_loss,tvd,validity
-1,,1.0,,,,,,0.010197304193381829,baseline,,,,,,,,
-4,nan,,nan,nan,nan,nan,nan,0.0048149548624577265,ensemble_final,nan,nan,nan,0.005650458735511399,0.004579836262297521,nan,nan,nan
-5,nan,,nan,nan,nan,nan,nan,0.0035598440507441376,ensemble_fcfw,nan,nan,nan,nan,nan,nan,nan,nan
0,True,1.0,,,,,,0.010197304193381829,ensemble_step,,,,,,0.010197304193381829,,
1,True,0.5,,,,,,0.010131557617932968,ensemble_step,,,,,,0.010131557617932968,,
2,True,0.3333333333333333,,,,,,0.010086604116917919,ensemble_step,,,,,,0.010086604116917919,,
3,True,0.25,,,,,,0.009916239702521229,ensemble_step,,,,,,0.009916239702521229,,
4,True,0.2,,,,,,0.008493280764975603,ensemble_step,,,,,,0.008493280764975603,,
5,True,0.16666666666666663,,,,,,0.006518963174684533,ensemble_step,,,,,,0.006518963174684533,,
6,True,0.14285714285714288,,,,,,0.006066465571890639,ensemble_step,,,,,,0.006066465571890639,,
7,False,0.125,,,,,,0.006091537493234267,ensemble_step,,,,,,0.006091537493234267,,
8,True,0.11111111111111108,,,,,,0.005418683707382355,ensemble_step,,,,,,0.005418683707382355,,
9,True,0.10000000000000003,,,,,,0.0048149548624577265,ensemble_step,,,,,,0.0048149548624577265,,
