step,alpha,corr_fro,coverage,f_score,jsd,kl,mmd,model_label,precision,recall,support_match,training_loss,tvd,validity
-1,1.0,,,,,,0.009535885056375393,baseline,,,,,,
-4,,nan,nan,nan,nan,nan,0.004489714905706487,ensemble_final,nan,nan,nan,nan,nan,nan
-5,,nan,nan,nan,nan,nan,0.0038821281144286253,ensemble_fcfw,nan,nan,nan,nan,nan,nan
0,1.0,,,,,,0.009535885056375393,ensemble_step,,,,0.009535885056375393,,
1,0.5,,,,,,0.010138363141944265,ensemble_step,,,,0.010138363141944265,,
2,0.3333333333333333,,,,,,0.009971225320277477,ensemble_step,,,,0.009971225320277477,,
3,0.25,,,,,,0.009324609373235574,ensemble_step,,,,0.009324609373235574,,
4,0.2,,,,,,0.005567822109984716,ensemble_step,,,,0.005567822109984716,,
5,0.16666666666666663,,,,,,0.004764823209557847,ensemble_step,,,,0.004764823209557847,,
6,0.14285714285714288,,,,,,0.004489714905706487,ensemble_step,,,,0.004489714905706487,,
