step,accepted_by_metric,alpha,corr_fro,coverage,f_score,jsd,jsd_exact,kl,kl_exact,mmd,model_label,precision,recall,support_match,training_loss,tvd,tvd_exact,validity
-1,,1.0,,,,,,,,0.0019077507375456113,baseline,,,,,,,
-4,nan,,2.3599805027364185,nan,nan,0.7711733393835435,0.5261081411125258,17.606272910448453,1.6579951898905894,0.0010374013800173998,ensemble_final,nan,nan,nan,nan,0.9043067587114139,0.5928442423960658,nan
-5,nan,,2.2759299255609875,nan,nan,0.7606918574834712,0.4957193824559157,17.187539371297255,1.799312862726305,0.0010271752253174782,ensemble_fcfw,nan,nan,nan,nan,0.8901232541943593,0.5462349763988623,nan
0,True,1.0,,,,,,,,0.0019077507375456113,ensemble_step,,,,0.0019077507375456113,,,
1,True,0.375,,,,,,,,0.0017468495030725166,ensemble_step,,,,0.0017468495030725166,,,
2,True,0.25,,,,,,,,0.0017404227496843822,ensemble_step,,,,0.0017404227496843822,,,
3,True,0.1875,,,,,,,,0.001477558806350795,ensemble_step,,,,0.001477558806350795,,,
4,True,0.15000000000000002,,,,,,,,0.001188792731621231,ensemble_step,,,,0.001188792731621231,,,
5,True,0.12499999999999997,,,,,,,,0.0009410672150816698,ensemble_step,,,,0.0009410672150816698,,,
6,False,0.10714285714285715,,,,,,,,0.0010059088112281454,ensemble_step,,,,0.0010059088112281454,,,
7,False,0.09374999999999999,,,,,,,,0.0010767451723980132,ensemble_step,,,,0.0010767451723980132,,,
8,True,0.08333333333333334,,,,,,,,0.0009617567396536053,ensemble_step,,,,0.0009617567396536053,,,
9,False,0.075,,,,,,,,0.0010197651657021392,ensemble_step,,,,0.0010197651657021392,,,
