step,accepted_by_metric,alpha,corr_fro,coverage,f_score,jsd,jsd_exact,kl,kl_exact,mmd,model_label,precision,recall,support_match,training_loss,tvd,tvd_exact,validity
-1,,1.0,,,,,,,,0.10669987352363425,baseline,,,,,,,
-4,nan,,4.443407000009126,nan,nan,0.6070808287154531,0.5255637517899404,8.63398094952936,1.2268521060978785,0.024233177304267883,ensemble_final,nan,nan,nan,nan,0.6610270818098003,0.5958959957649748,nan
-5,nan,,2.3638988784518666,nan,nan,0.5352036711934481,0.4703214892627761,9.129604999348302,1.2503060366862226,0.009535670280456543,ensemble_fcfw,nan,nan,nan,nan,0.5370700973144413,0.4819514448043791,nan
0,True,1.0,,,,,,,,0.10669987352363425,ensemble_step,,,,0.10669987352363425,,,
1,True,0.375,,,,,,,,0.07552412464027793,ensemble_step,,,,0.07552412464027793,,,
2,True,0.25,,,,,,,,0.06683812234498615,ensemble_step,,,,0.06683812234498615,,,
3,True,0.1875,,,,,,,,0.051592512896615914,ensemble_step,,,,0.051592512896615914,,,
4,True,0.15000000000000002,,,,,,,,0.036060643601042774,ensemble_step,,,,0.036060643601042774,,,
5,True,0.12499999999999997,,,,,,,,0.020323108300098203,ensemble_step,,,,0.020323108300098203,,,
6,False,0.10714285714285715,,,,,,,,0.022046700373811512,ensemble_step,,,,0.022046700373811512,,,
7,True,0.09374999999999999,,,,,,,,0.021815753721675823,ensemble_step,,,,0.021815753721675823,,,
8,False,0.08333333333333334,,,,,,,,0.028341992186255438,ensemble_step,,,,0.028341992186255438,,,
9,False,0.075,,,,,,,,0.02834752481060937,ensemble_step,,,,0.02834752481060937,,,
