step,alpha,corr_fro,coverage,f_score,jsd,kl,mmd,model_label,precision,recall,support_match,training_loss,tvd,validity
-1,1.0,,,,,,0.03338085104664871,baseline,,,,,,
-4,,nan,nan,nan,nan,nan,0.0040543240537123095,ensemble_final,nan,nan,nan,nan,nan,nan
-5,,nan,nan,nan,nan,nan,0.0023092727969507136,ensemble_fcfw,nan,nan,nan,nan,nan,nan
0,1.0,,,,,,0.03338085104664871,ensemble_step,,,,0.03338085104664871,,
1,0.5,,,,,,0.0338164568704619,ensemble_step,,,,0.0338164568704619,,
2,0.3333333333333333,,,,,,0.032335967512091085,ensemble_step,,,,0.032335967512091085,,
3,0.25,,,,,,0.013927357614786454,ensemble_step,,,,0.013927357614786454,,
4,0.2,,,,,,0.011254019866991476,ensemble_step,,,,0.011254019866991476,,
5,0.16666666666666663,,,,,,0.00837701589304035,ensemble_step,,,,0.00837701589304035,,
6,0.14285714285714288,,,,,,0.00831385627850563,ensemble_step,,,,0.00831385627850563,,
7,0.125,,,,,,0.004995497193529839,ensemble_step,,,,0.004995497193529839,,
8,0.11111111111111108,,,,,,0.005017172998355894,ensemble_step,,,,0.005017172998355894,,
9,0.10000000000000003,,,,,,0.0040543240537123095,ensemble_step,,,,0.0040543240537123095,,
