step,accepted_by_metric,alpha,corr_fro,coverage,f_score,jsd,jsd_exact,kl,kl_exact,mmd,model_label,precision,recall,support_match,training_loss,tvd,tvd_exact,validity
-1,,1.0,,,,,,,,0.0444647697601504,baseline,,,,,,,
-4,nan,,6.340049943596334,nan,nan,0.7945481451007035,0.7163779069014624,17.314530975784407,4.047159882193928,0.042452722787857056,ensemble_final,nan,nan,nan,nan,0.953805708007913,0.859226267305953,nan
-5,nan,,3.5956771528511777,nan,nan,0.7544066279474451,0.6775525727427114,18.271050106475865,4.007228141777974,0.02217361827691396,ensemble_fcfw,nan,nan,nan,nan,0.8864407856630612,0.7990468932923231,nan
0,True,1.0,,,,,,,,0.0444647697601504,ensemble_step,,,,0.0444647697601504,,,
1,True,0.002780142516758832,,,,,,,,0.04380551619945674,ensemble_step,,,,0.04380551619945674,,,
2,True,0.002548463973695596,,,,,,,,0.043216333855004764,ensemble_step,,,,0.043216333855004764,,,
3,True,0.0023524282834113197,,,,,,,,0.04281328592593928,ensemble_step,,,,0.04281328592593928,,,
4,True,0.002184397691739082,,,,,,,,0.04232031635263552,ensemble_step,,,,0.04232031635263552,,,
5,True,0.0020387711789564772,,,,,,,,0.04186966425427685,ensemble_step,,,,0.04186966425427685,,,
6,True,0.0019113479802716972,,,,,,,,0.041455416217546344,ensemble_step,,,,0.041455416217546344,,,
7,True,0.0017989157461380679,,,,,,,,0.04107277695864175,ensemble_step,,,,0.04107277695864175,,,
8,True,0.0016989759824637307,,,,,,,,0.04071780835814717,ensemble_step,,,,0.04071780835814717,,,
9,True,0.001609556193913008,,,,,,,,0.04045070870343197,ensemble_step,,,,0.04045070870343197,,,
