step,accepted_by_metric,alpha,corr_fro,coverage,f_score,jsd,jsd_exact,kl,kl_exact,mmd,model_label,precision,recall,support_match,training_loss,tvd,tvd_exact,validity
-1,,1.0,,,,,,,,0.0030490758707647897,baseline,,,,,,,
-4,nan,,2.779977125592229,nan,nan,0.7950039259326814,0.5946987038858106,18.040369292052045,2.221225055599653,0.0035028192214667797,ensemble_final,nan,nan,nan,nan,0.9443000693882647,0.6971829333464507,nan
-5,nan,,2.4531935277071026,nan,nan,0.7863876606582421,0.5588000047845803,18.0141120946575,2.203156122949413,0.003139933842855195,ensemble_fcfw,nan,nan,nan,nan,0.9346506867239652,0.6420522816003418,nan
0,True,1.0,,,,,,,,0.0030490758707647897,ensemble_step,,,,0.0030490758707647897,,,
1,False,0.125,,,,,,,,0.003301143272461789,ensemble_step,,,,0.003301143272461789,,,
2,False,0.08333333333333333,,,,,,,,0.003448873614774759,ensemble_step,,,,0.003448873614774759,,,
3,False,0.06250000000000001,,,,,,,,0.0035718518035025323,ensemble_step,,,,0.0035718518035025323,,,
4,False,0.05,,,,,,,,0.0036616358418663044,ensemble_step,,,,0.0036616358418663044,,,
5,False,0.04166666666666666,,,,,,,,0.003745159654533006,ensemble_step,,,,0.003745159654533006,,,
6,False,0.03571428571428572,,,,,,,,0.0038159108136309587,ensemble_step,,,,0.0038159108136309587,,,
7,False,0.03125,,,,,,,,0.0038707093304606427,ensemble_step,,,,0.0038707093304606427,,,
8,False,0.027777777777777776,,,,,,,,0.003926822916659637,ensemble_step,,,,0.003926822916659637,,,
9,False,0.025,,,,,,,,0.003976295560755956,ensemble_step,,,,0.003976295560755956,,,
