step,accepted_by_metric,alpha,corr_fro,coverage,f_score,jsd,kl,mmd,model_label,precision,recall,support_match,test_mmd,test_mmd_fcfw,training_loss,tvd,validity
-1,,1.0,,,,,,0.010077940317122003,baseline,,,,,,,,
-4,nan,,nan,nan,nan,nan,nan,0.003436503057095197,ensemble_final,nan,nan,nan,0.005184639220062515,0.0038386257511560107,nan,nan,nan
-5,nan,,nan,nan,nan,nan,nan,0.0025293016159859127,ensemble_fcfw,nan,nan,nan,nan,nan,nan,nan,nan
0,True,1.0,,,,,,0.010077940317122003,ensemble_step,,,,,,0.010077940317122003,,
1,True,0.25,,,,,,0.00965901427024296,ensemble_step,,,,,,0.00965901427024296,,
2,True,0.16666666666666666,,,,,,0.00822034290939505,ensemble_step,,,,,,0.00822034290939505,,
3,True,0.125,,,,,,0.006254620810948075,ensemble_step,,,,,,0.006254620810948075,,
4,True,0.1,,,,,,0.0057768995412297575,ensemble_step,,,,,,0.0057768995412297575,,
5,True,0.08333333333333333,,,,,,0.004297546036362093,ensemble_step,,,,,,0.004297546036362093,,
6,True,0.07142857142857142,,,,,,0.004188939781244877,ensemble_step,,,,,,0.004188939781244877,,
7,True,0.06250000000000001,,,,,,0.0038620834205793375,ensemble_step,,,,,,0.0038620834205793375,,
8,True,0.05555555555555554,,,,,,0.003556379104967783,ensemble_step,,,,,,0.003556379104967783,,
9,True,0.05,,,,,,0.003436503057095197,ensemble_step,,,,,,0.003436503057095197,,
