step,alpha,corr_fro,coverage,f_score,jsd,kl,mmd,model_label,precision,recall,support_match,training_loss,tvd,validity
-1,1.0,,,,,,0.009664894030864114,baseline,,,,,,
-4,,nan,nan,nan,nan,nan,0.004584354507801766,ensemble_final,nan,nan,nan,nan,nan,nan
-5,,nan,nan,nan,nan,nan,0.003723534980038787,ensemble_fcfw,nan,nan,nan,nan,nan,nan
0,1.0,,,,,,0.009664894030864114,ensemble_step,,,,0.009664894030864114,,
1,0.5,,,,,,0.009933627384347625,ensemble_step,,,,0.009933627384347625,,
2,0.3333333333333333,,,,,,0.009985000957818844,ensemble_step,,,,0.009985000957818844,,
3,0.25,,,,,,0.009822072186717995,ensemble_step,,,,0.009822072186717995,,
4,0.2,,,,,,0.00626748942986058,ensemble_step,,,,0.00626748942986058,,
5,0.16666666666666663,,,,,,0.004806542369852733,ensemble_step,,,,0.004806542369852733,,
6,0.14285714285714288,,,,,,0.004338110630175778,ensemble_step,,,,0.004338110630175778,,
7,0.125,,,,,,0.004584354507801766,ensemble_step,,,,0.004584354507801766,,
