step,accepted_by_metric,alpha,corr_fro,coverage,f_score,jsd,jsd_exact,kl,kl_exact,mmd,model_label,precision,recall,support_match,training_loss,tvd,tvd_exact,validity
-1,,1.0,,,,,,,,0.0022751544440352376,baseline,,,,,,,
-4,nan,,2.2708143606697466,nan,nan,0.7333108068385458,0.5007916890716845,15.211853422976738,1.1417165898034942,0.0021932092495262623,ensemble_final,nan,nan,nan,nan,0.8514613877609645,0.5584124084418823,nan
-5,nan,,1.9669431851926875,nan,nan,0.728313956295227,0.4941231367388046,15.221217124376794,1.1220956997030664,0.001972797093912959,ensemble_fcfw,nan,nan,nan,nan,0.8397762930636068,0.5459206557770425,nan
0,True,1.0,,,,,,,,0.0022751544440352376,ensemble_step,,,,0.0022751544440352376,,,
1,False,0.019927990253349053,,,,,,,,0.0023812267472584077,ensemble_step,,,,0.0023812267472584077,,,
2,False,0.010108224819705827,,,,,,,,0.0024366222251224314,ensemble_step,,,,0.0024366222251224314,,,
3,False,0.006771489177378191,,,,,,,,0.0024751191888349755,ensemble_step,,,,0.0024751191888349755,,,
4,False,0.005090958442193243,,,,,,,,0.0025031986306475553,ensemble_step,,,,0.0025031986306475553,,,
5,False,0.004078713769066283,,,,,,,,0.0025276435106469032,ensemble_step,,,,0.0025276435106469032,,,
6,False,0.003402240086651353,,,,,,,,0.0025468277630299723,ensemble_step,,,,0.0025468277630299723,,,
7,False,0.0029182368999505176,,,,,,,,0.002563937903978696,ensemble_step,,,,0.002563937903978696,,,
8,False,0.0025547918297952263,,,,,,,,0.0025797238106286167,ensemble_step,,,,0.0025797238106286167,,,
9,False,0.002271849575100705,,,,,,,,0.002593937461233133,ensemble_step,,,,0.002593937461233133,,,
