step,accepted_by_metric,alpha,corr_fro,coverage,f_score,jsd,jsd_exact,kl,kl_exact,mmd,model_label,precision,recall,support_match,training_loss,tvd,tvd_exact,validity
-1,,1.0,,,,,,,,0.008869460269460247,baseline,,,,,,,
-4,nan,,3.5390692940941446,nan,nan,0.7715572029212928,0.6396651342018392,16.540515070937875,2.784310381474616,0.009963101552178463,ensemble_final,nan,nan,nan,nan,0.9120039666399332,0.7505299949607463,nan
-5,nan,,3.519492070241954,nan,nan,0.7486684150466888,0.6047195865478322,16.42429372438571,3.122919224219606,0.008818774561708173,ensemble_fcfw,nan,nan,nan,nan,0.8794406583579533,0.692984059167445,nan
0,True,1.0,,,,,,,,0.008869460269460247,ensemble_step,,,,0.008869460269460247,,,
1,True,0.125,,,,,,,,0.008455854519497838,ensemble_step,,,,0.008455854519497838,,,
2,False,0.08333333333333333,,,,,,,,0.009078282024355686,ensemble_step,,,,0.009078282024355686,,,
3,True,0.06250000000000001,,,,,,,,0.00901041134588887,ensemble_step,,,,0.00901041134588887,,,
4,False,0.05,,,,,,,,0.009554936299676995,ensemble_step,,,,0.009554936299676995,,,
5,True,0.04166666666666666,,,,,,,,0.009287392227274089,ensemble_step,,,,0.009287392227274089,,,
6,False,0.03571428571428572,,,,,,,,0.009756634395596939,ensemble_step,,,,0.009756634395596939,,,
7,True,0.03125,,,,,,,,0.009605523100122623,ensemble_step,,,,0.009605523100122623,,,
8,False,0.027777777777777776,,,,,,,,0.01007400160350694,ensemble_step,,,,0.01007400160350694,,,
9,True,0.025,,,,,,,,0.009864745307161325,ensemble_step,,,,0.009864745307161325,,,
